,0
انگلیسی,393
کارشناسی,387
GIT,201
JavaScript,191
Html & CSS,172
Sql Server,163
C#,145
Rest API,114
.Net Core / .Net,106
ASP.Net,100
React,96
PHP,81
Python,76
MySql,68
Java,67
JQuery,49
Angular,49
Laravel,43
TypeScript,43
Node.js,42
Bachelor,42
C++,35
T-Sql,35
English,34
Entity Framework,33
Docker,31
Django,28
MongoDB,28
Microsoft Visual Studio,28
کارشناسی ارشد,27
کاردانی,27
Redis,26
Gitlab,26
Linux,24
Next.js,22
PostgreSql,21
C,21
VueJS,20
Wordpress,19
Unit Testing,19
React Native,15
Microsoft Excel,15
Jira,14
Oracle Database,12
Flutter,12
Go,12
RabbitMQ,12
Android Development,11
Microsoft Word,11
Android Studio,10
Hibernate,9
Elastic Search,8
PowerBI,8
Stimulsoft Report,7
Master,7
Java SE,7
Oracle NoSQL,7
Figma,6
Microsoft Outlook,6
Dart,6
PL-SQL,6
Kotlin,6
Microsoft Azure Devops / TFS,5
Kafka,5
Adobe XD,5
Nuxt.js,4
Notepad++,4
Embedded C,4
Kubernetes,4
Microsoft Powerpoint,4
MATLAB,4
SQL/DS,3
OpenCV,3
Rust,3
Trello,3
Visual Basic,3
Google Search Console,3
Oracle ERP,3
Network+,3
Labview,3
SSRS,3
SSIS,3
Selenium,3
Microsoft Dynamics,3
Microsoft Access,3
Production Manager,2
Docker Swarm,2
Unity,2
Google Tag Manager,2
Google Analytics,2
SSAS,2
همکاران سیستم,2
راهکاران,2
Visual Paradigm,2
Bizagi,2
Swift,2
VB Script,2
WinCC,2
Altium Designer,2
iOS Development (Objective C),2
Xcode,2
VHDL,2
Delphi,2
Oracle Form & Report,2
IFS,2
Microsoft Visio,2
SAP,2
Zabbix,2
Keras,1
Ansible,1
Keyword Planner,1
Semrush,1
Moz,1
DHCP,1
Hadoop,1
Fast Report,1
Quick Report,1
Dependency Injection,1
GFI Web Monitor,1
Oracle WebLogic,1
Arena,1
Eplan,1
simatic manager,1
CCNP,1
MCP,1
MTCRE,1
MTCWE,1
Firewall,1
عربی,1
Proteus,1
CodeVision,1
Xamarin,1
Rational rose,1
MQL,1
Modelsim,1
Verilog,1
Crystal Reports,1
Microsoft ERP,1
ShellScript,1
LINGO,1
LINDO,1
DNS Settings,1
شماران سیستم,1
Oracle BI,1
رایورز,1
