,0
Python,70
 SQL,67
Data Analysis,47
Data engineer,25
Data science,23
Software Engineering,22
Microsoft Office ,21
تحلیل داده,16
NoSQL,16
Big Data,14
Sql Server,14
 Git,13
PostgreSQL,12
امور اداری,11
اصول و فنون مذاکره,11
MySQL,10
فروش و بازاریابی,10
Back-end,9
Power BI,9
مالی و حسابداری,9
تجزیه و تحلیل,8
پیگیری امور,8
Javascript,8
TSQL,7
C#,7
Pytorch,6
ETL,6
ارتباط با مشتریان و پشتیبانی,6
امور مالی,6
SQL,5
Microsoft Excel,5
ارتباط با مشتری,5
هوش تجاری,5
Golang,5
 Front-end,5
پشتیبانی نرم افزار,5
حسابداری,5
امور مالیاتی,5
Angular,5
 Scrum,5
bi,5
Django,5
Java,4
MongoDB,4
HTML,4
CSS,4
Data Warehouse,4
ASP.NET,4
T-SQL,4
پایگاه داده,4
پشتیبانی فنی,4
استقرار نرم افزار,4
RestFul API,4
تولید محتوا,4
امور بازرگانی,4
+NETWORK,4
kafka,3
Docker,3
Databases,3
Business Analyst,3
تحلیل کسب و کار,3
برق الکترونیک,3
تولید,3
PHP,3
Go,3
شبکه,3
بازرگانی ,3
پاسخگویی به مشتریان,3
مکاتبات اداری,3
نظافت,3
پاسخگویی به تلفن,3
مدیریت فروش,3
مفاهیم شبکه,3
Operations,3
.NET,3
مکاتبات خارجی,3
tensorflow,3
agile,2
SSIS,2
Gitlab,2
msp,2
برنامه‌ریزی,2
علوم داده,2
NLP,2
ِDataCenter,2
تجزیه‌و‌تحلیل بازار,2
spring,2
typescript,2
Engineering,2
امور دفتری,2
Data mining,2
vue.js,2
#C,2
Entity Framework,2
CCNP,2
بازرگانی خارجی,2
مالیات ارزش افزوده,2
C/C++,2
ثبت اسناد حسابداری ,2
Data Entry,2
تست نفوذ,2
جوشکاری,2
co2,2
امور خدماتی,2
پذیرایی و تشریفات,2
نقشه کشی,2
Full-stack,2
 OOP,2
Help Desk,2
عیب یابی,2
تست نرم افزار,2
Scrum Master,2
مديريت پروژه چابک,2
برنامه نویسی وب,2
Jira,2
React,2
فروش,2
HTML5,2
اصول نگارشی ,2
شبکه های اجتماعی,2
توسعه کسب و کار,2
ثبت سفارشات,2
CCNA,2
امور فنی,2
Linux,2
هماهنگی جلسات,2
SOLID,2
الکترونیک,2
Data Engineering,2
PowerBI,2
spark,2
Java Core,2
Management,2
Marketing,2
مهندسی مکانیک,2
تاسیسات مکانیکی,2
Photoshop,2
طراحی گرافیک,2
Illustrator,2
.NET Core,2
Technical Lead,1
frontend,1
3PL,1
RF,1
Postgres,1
Bash,1
نظارت,1
مدیریت زمان,1
weka,1
KEEL,1
LLM,1
Defi,1
BIM,1
rhino,1
مهندسی برق,1
مرکز داده,1
field services,1
نگهداری و تعمیرات,1
safety engineering,1
ISO14001,1
technical,1
ReactJS,1
Node.js,1
تکنسین,1
Production,1
مهندسی شیمی,1
بیزنس پلن,1
Query,1
هوش مصنوعی ,1
Elasticsearch,1
Ruby,1
ساخت و تولید,1
مکانیک,1
jQuery,1
امنیت شبکه,1
C++,1
فروش حضوری,1
کمک حسابداری,1
ورود اطلاعات,1
Optimization,1
برق,1
روابط عمومی بالا,1
روابط عمومی ,1
Vuejs,1
امنیت اطلاعات,1
ارزیابی امنیتی,1
امورمشتریان,1
سرایداری,1
اپراتور cnc,1
اپراتوری,1
اتوکد,1
امور پذیرایی,1
کنترل کیفیت,1
Qc,1
MINITAB,1
نقشه خوانی,1
تحلیل اماری,1
مدیریت تولید,1
برنامه ریزی تولید,1
انبارداری,1
کنترل موجودی انبار,1
امور انبارداری,1
سرپرستی کارگاه,1
امور کارگاهی,1
cnc,1
ماشین آلات,1
طراحی سیستم,1
NgRx,1
فناوری اطلاعات,1
IT,1
network+,1
تبلیغات,1
فروش نرم افزار,1
تست محصول,1
سناریو تست,1
نصب و راه‌اندازی نرم‌افزار,1
استقرار نرم افزار مالی,1
Domain,1
حقوق و دستمزد,1
HTTP,1
Qt,1
بازاریابی,1
ASP.NET Core,1
postgresSQL,1
معماری,1
طراحی فاز 2,1
revit,1
مدیریت پروژه,1
کنترل پروژه,1
MVC,1
سخت افزار,1
طراحی سخت افزار,1
نصب و راه اندازی,1
NextJS,1
CSS3,1
مدیریت محتوا,1
whmcs,1
پلاگین وردپرس,1
توسعه نرم افزار,1
Responsive,1
oracle,1
Oracle Database,1
امور گمرکی,1
Redux,1
ASP .Net Core,1
تضمین کیفیت,1
پیاده سازی نرم افزار,1
تضمین کیفیت نرم افزار,1
Helpdesk,1
CRM,1
گزارش نویسی,1
storage,1
حسابداری خزانه,1
نرم افزار سپیدار,1
گزارشات فصلی,1
نقشه برداری,1
امور عمرانی,1
QA,1
Test Case,1
مستندسازی,1
مدیریت فنی,1
CTO,1
DBA,1
JAVA EE,1
Java SE,1
vhdl,1
Fpga,1
Xilinx,1
قطعات الکترونیکی و مونتاژ,1
SMD,1
SCRUM,1
kubernetes,1
Metadata,1
ELK,1
Data Scientist,1
مدرس,1
تحلیلگری,1
Troubleshooting,1
Data Analyst,1
KPI,1
Machine learning,1
Data analysist,1
Team Leader,1
Keras,1
Orientdb,1
Product Development,1
Analysis,1
financial,1
تجزیه و تحلیل داده‌های مالی,1
Network,1
DNS,1
Grunt,1
LSTM,1
Data ,1
فرآیندهای کسب و کار,1
Microservice,1
VMWare,1
Redis,1
Software Testing,1
Research,1
مهندسی داده,1
data cube,1
Laravel,1
یادگیری ماشین,1
ادمین,1
ادمین اینستاگرام,1
 SEO,1
مجری گری,1
گویندگی,1
تولید محتوای تصویری,1
ترخیص کالا,1
تعمیرات الکترونیک,1
Altium Designer,1
Project Management,1
MSProject,1
MBA,1
مدیریت صادرات,1
صادرات,1
تحصیلداری,1
امور بانکی,1
Social Media,1
کمپین‌های تبلیغاتی,1
جذب و استخدام,1
منابع انسانی,1
تحلیل سیستم,1
Ai,1
موشن گرافیک,1
موشن گرافی,1
امنیت,1
نرم افزار تست نفوذ وب,1
OWASP,1
زیرساخت شبکه ,1
OOP,1
ورود اطلاعات به سایت,1
فروش سازمانی,1
مدیریت فروش سازمانی,1
خزانه داری,1
مغایرت گیری,1
مدیریت محصول,1
product management,1
هماهنگی امور,1
REST API,1
مفاهیم هوش تجاری BI,1
UI  UX,1
Adobe XD,1
امور بازرگانی خارجی,1
